segment_order,direction,pipe_idx,pipe_name,from_junction_idx,to_junction_idx,from_junction_name,to_junction_name,velocity_m_per_s,diameter_mm,length_m
45,return_trunk_leaf_to_plant,75,pipe_R_456273.7_5734168.1_to_456241.7_5734157.3,133,119,R_456273.7_5734168.1,R_456241.7_5734157.3,1.0698092024717203,110.0,33.77007106915572
46,return_trunk_leaf_to_plant,73,pipe_R_456241.7_5734157.3_to_456236.2_5734155.4,119,115,R_456241.7_5734157.3,R_456236.2_5734155.4,1.0720492992222181,110.0,5.888191572895033
47,return_trunk_leaf_to_plant,71,pipe_R_456236.2_5734155.4_to_456230.2_5734153.4,115,111,R_456236.2_5734155.4,R_456230.2_5734153.4,1.100485645570999,110.0,6.245518393030249
48,return_trunk_leaf_to_plant,69,pipe_R_456230.2_5734153.4_to_456216.1_5734148.7,111,109,R_456230.2_5734153.4,R_456216.1_5734148.7,1.1250494678613274,110.0,14.875402515611547
49,return_trunk_leaf_to_plant,67,pipe_R_456216.1_5734148.7_to_456210.1_5734146.7,109,107,R_456216.1_5734148.7,R_456210.1_5734146.7,0.8965430215853534,125.0,6.327724709490881
50,return_trunk_leaf_to_plant,65,pipe_R_456210.1_5734146.7_to_456196.2_5734142.0,107,103,R_456210.1_5734146.7,R_456196.2_5734142.0,0.919944434986873,125.0,14.707810850154033
51,return_trunk_leaf_to_plant,63,pipe_R_456196.2_5734142.0_to_456192.3_5734140.7,103,101,R_456196.2_5734142.0,R_456192.3_5734140.7,0.9420657952843691,125.0,4.104655892889812
52,return_trunk_leaf_to_plant,123,pipe_R_456192.3_5734140.7_to_456189.6_5734139.8,101,97,R_456192.3_5734140.7,R_456189.6_5734139.8,0.9928376047009534,125.0,2.8688150865642967
53,return_trunk_leaf_to_plant,121,pipe_R_456189.6_5734139.8_to_456175.2_5734135.4,97,95,R_456189.6_5734139.8,R_456175.2_5734135.4,1.012685791518918,125.0,15.049850497446899
54,return_trunk_leaf_to_plant,119,pipe_R_456175.2_5734135.4_to_456169.2_5734133.6,95,93,R_456175.2_5734135.4,R_456169.2_5734133.6,1.0312366436224645,125.0,6.237563627180783
55,return_trunk_leaf_to_plant,117,pipe_R_456169.2_5734133.6_to_456159.4_5734130.5,93,85,R_456169.2_5734133.6,R_456159.4_5734130.5,1.051320937578767,125.0,10.245218396739507
56,return_trunk_leaf_to_plant,115,pipe_R_456159.4_5734130.5_to_456155.2_5734129.2,85,83,R_456159.4_5734130.5,R_456155.2_5734129.2,1.0936730099314367,125.0,4.409104217310225
57,return_trunk_leaf_to_plant,113,pipe_R_456155.2_5734129.2_to_456149.0_5734127.3,83,77,R_456155.2_5734129.2,R_456149.0_5734127.3,1.1137244178026051,125.0,6.4875342002945775
58,return_trunk_leaf_to_plant,111,pipe_R_456149.0_5734127.3_to_456140.9_5734124.8,77,71,R_456149.0_5734127.3,R_456140.9_5734124.8,1.1339775985031597,125.0,8.49908818659258
59,return_trunk_leaf_to_plant,109,pipe_R_456140.9_5734124.8_to_456134.6_5734122.9,71,67,R_456140.9_5734124.8,R_456134.6_5734122.9,1.1687510805100996,125.0,6.55076331422272
60,return_trunk_leaf_to_plant,107,pipe_R_456134.6_5734122.9_to_456128.7_5734121.0,67,61,R_456134.6_5734122.9,R_456128.7_5734121.0,1.1914631554101598,125.0,6.186840874037248
61,return_trunk_leaf_to_plant,105,pipe_R_456128.7_5734121.0_to_456120.9_5734118.6,61,59,R_456128.7_5734121.0,R_456120.9_5734118.6,1.2114977580753858,125.0,8.185890299762674
62,return_trunk_leaf_to_plant,103,pipe_R_456120.9_5734118.6_to_456111.3_5734115.7,59,51,R_456120.9_5734118.6,R_456111.3_5734115.7,1.2348009594800373,125.0,10.023916400304621
63,return_trunk_leaf_to_plant,101,pipe_R_456111.3_5734115.7_to_456100.8_5734112.4,51,47,R_456111.3_5734115.7,R_456100.8_5734112.4,1.011209640994022,140.0,10.991473968490304
64,return_trunk_leaf_to_plant,99,pipe_R_456100.8_5734112.4_to_456093.5_5734110.2,47,43,R_456100.8_5734112.4,R_456093.5_5734110.2,1.0273693459210458,140.0,7.702110100395971
65,return_trunk_leaf_to_plant,97,pipe_R_456093.5_5734110.2_to_456093.4_5734110.1,43,41,R_456093.5_5734110.2,R_456093.4_5734110.1,1.0295952014607659,140.0,0.08544003750549678
66,return_trunk_leaf_to_plant,95,pipe_R_456093.4_5734110.1_to_456072.0_5734103.5,41,33,R_456093.4_5734110.1,R_456072.0_5734103.5,1.0314853730250264,140.0,22.40714618164991
67,return_trunk_leaf_to_plant,37,pipe_R_456072.0_5734103.5_to_456069.6_5734117.3,33,31,R_456072.0_5734103.5,R_456069.6_5734117.3,1.0314821503953453,140.0,14.018708928224507
68,return_trunk_leaf_to_plant,221,pipe_R_456069.6_5734117.3_to_455903.1_5734115.0,31,11,R_456069.6_5734117.3,R_455903.1_5734115.0,1.0314661902811177,140.0,166.52588417420952
69,return_trunk_leaf_to_plant,211,pipe_R_455903.1_5734115.0_to_455891.3_5734123.1,11,9,R_455903.1_5734115.0,R_455891.3_5734123.1,1.031450219182562,140.0,14.265714142572358
70,return_trunk_leaf_to_plant,93,pipe_R_455891.3_5734123.1_to_455883.6_5734134.2,9,7,R_455891.3_5734123.1,R_455883.6_5734134.2,1.0314477667615016,140.0,13.516870939579997
71,return_trunk_leaf_to_plant,203,pipe_R_455883.6_5734134.2_to_455876.0_5734137.3,7,3,R_455883.6_5734134.2,R_455876.0_5734137.3,1.0314458450813486,140.0,8.256106830793373
72,return_trunk_leaf_to_plant,237,pipe_R_455876.0_5734137.3_to_455851.2_5734174.3,3,1,R_455876.0_5734137.3,R_455851.2_5734174.3,1.0461620940091214,140.0,44.52025718668817
73,return_trunk_leaf_to_plant,127,pipe_R_455851.2_5734174.3_to_455881.5_5734185.5,1,5,R_455851.2_5734174.3,R_455881.5_5734185.5,1.0461553798675587,140.0,32.29086867848909
74,return_trunk_leaf_to_plant,169,pipe_R_455881.5_5734185.5_to_455916.9_5734196.5,5,13,R_455881.5_5734185.5,R_455916.9_5734196.5,1.046149323710993,140.0,37.022567441943984
75,return_trunk_leaf_to_plant,89,pipe_R_455916.9_5734196.5_to_455928.6_5734199.3,13,15,R_455916.9_5734196.5,R_455928.6_5734199.3,1.0461450348177606,140.0,12.079010721038248
76,return_trunk_leaf_to_plant,11,pipe_R_455928.6_5734199.3_to_455964.4_5734213.6,15,17,R_455928.6_5734199.3,R_455964.4_5734213.6,1.0461406112166742,140.0,38.5819348919862
77,return_trunk_leaf_to_plant,201,pipe_R_455964.4_5734213.6_to_455976.9_5734217.4,17,19,R_455964.4_5734213.6,R_455976.9_5734217.4,1.0461361084093508,140.0,12.997880596405352
78,return_trunk_leaf_to_plant,171,pipe_R_455976.9_5734217.4_to_456014.0_5734234.3,19,21,R_455976.9_5734217.4,R_456014.0_5734234.3,1.0461314134864237,140.0,40.8018149104898
79,return_trunk_leaf_to_plant,1,pipe_R_456014.0_5734234.3_to_456035.5_5734244.5,21,25,R_456014.0_5734234.3,R_456035.5_5734244.5,1.0461257816611826,140.0,23.752136746223382
80,return_trunk_leaf_to_plant,181,pipe_R_456035.5_5734244.5_to_456072.0_5734255.6,25,35,R_456035.5_5734244.5,R_456072.0_5734255.6,1.0461203778837582,140.0,38.21209232685458
81,return_trunk_leaf_to_plant,173,pipe_R_456072.0_5734255.6_to_456092.0_5734262.3,35,39,R_456072.0_5734255.6,R_456092.0_5734262.3,1.046115216178295,140.0,20.99436352923967
82,return_trunk_leaf_to_plant,55,pipe_R_456092.0_5734262.3_to_456111.9_5734273.0,39,53,R_456092.0_5734262.3,R_456111.9_5734273.0,1.0461114109230512,140.0,22.66671789200312
83,return_trunk_leaf_to_plant,79,pipe_R_456111.9_5734273.0_to_456130.3_5734282.4,53,63,R_456111.9_5734273.0,R_456130.3_5734282.4,1.0461076386870036,140.0,20.625898768610945
84,return_trunk_leaf_to_plant,175,pipe_R_456130.3_5734282.4_to_456151.6_5734290.1,63,79,R_456130.3_5734282.4,R_456151.6_5734290.1,1.04610386959599,140.0,22.64134492465771
85,return_trunk_leaf_to_plant,205,pipe_R_456151.6_5734290.1_to_456161.2_5734298.1,79,91,R_456151.6_5734290.1,R_456161.2_5734298.1,1.0461008127657905,140.0,12.456749174782834
86,return_trunk_leaf_to_plant,87,pipe_R_456161.2_5734298.1_to_456160.6_5734316.8,91,89,R_456161.2_5734298.1,R_456160.6_5734316.8,1.046098100769104,140.0,18.68839211887591
87,return_trunk_leaf_to_plant,183,pipe_R_456160.6_5734316.8_to_456154.2_5734347.9,89,81,R_456160.6_5734316.8,R_456154.2_5734347.9,1.0460937043946628,140.0,31.812477112128576
88,return_trunk_leaf_to_plant,59,pipe_R_456154.2_5734347.9_to_456146.3_5734345.7,81,75,R_456154.2_5734347.9,R_456146.3_5734345.7,1.046090222475012,140.0,8.192612525875054
89,return_trunk_leaf_to_plant,81,pipe_R_456146.3_5734345.7_to_456138.2_5734343.4,75,69,R_456146.3_5734345.7,R_456138.2_5734343.4,1.0460887814624957,140.0,8.366803451920873
90,return_trunk_leaf_to_plant,125,pipe_R_456138.2_5734343.4_to_456141.1_5734330.4,69,73,R_456138.2_5734343.4,R_456141.1_5734330.4,1.0460868985606318,140.0,13.273029043638646
91,return_trunk_leaf_to_plant,91,pipe_R_456141.1_5734330.4_to_456118.2_5734324.3,73,57,R_456141.1_5734330.4,R_456118.2_5734324.3,1.0460836851506363,140.0,23.6643888575364
92,return_trunk_leaf_to_plant,17,pipe_R_456118.2_5734324.3_to_456106.6_5734318.8,57,49,R_456118.2_5734324.3,R_456106.6_5734318.8,1.0460805078999371,140.0,12.864046797181997
93,return_trunk_leaf_to_plant,275,pipe_R_plant_to_trunk,49,277,R_456106.6_5734318.8,plant_return,1.0460788487988655,140.0,5.592142375185818
